"course_code","title","description","skills"
"CSC 871","Deep Learning","Exploration of the major technology trends that drive Deep Learning. Discussion of concepts and technologies to build, train, and apply fully connected deep neural networks. Focus on understanding the key parameters in a neural network's architecture and learning how Deep Learning actually works. (Plus-minus letter grade only)","[(Python, 18), (PyTorch, 20), (Deep Neural Networks, 18), (Convolutional Neural Networks, 17), (RNNs, 15), (Transformer Architecture, 17), (Transfer Learning, 14), (Optimization Algorithms, 13), (Regularization, 12), (GPU Computing, 12), (Dataset Management, 11), (Model Evaluation and Metrics, 10), (Hyperparameter Tuning, 10), (Research Implementation, 10), (Generative Models, 9), (Experiment Tracking, 8), (MLOps and Model Deployment, 7)]"
"CSC 872","Pattern Analysis and Machine Intelligence","Foundation of pattern analysis and machine intelligence. Artificial intelligence: agent, logic, and search. Machine learning: Bayesian classification. Neural network: simulated annealing. Imaging: image segmentation and object recognition. (Plus-minus letter grade only) Syllabus terms: Spring 2025.","[(Pattern Recognition Theory, 19), (Bayesian Classification, 17), (Statistical ML, 16), (Neural Networks and Deep Learning, 15), (Support Vector Machines, 14), (Image Segmentation, 14), (Dimensionality Reduction, 13), (K-Nearest Neighbors, 11), (Simulated Annealing, 10), (Feature Extraction, 10), (Model Evaluation, 9), (Python for Machine Intelligence, 9), (Research Paper Reading and Writing, 9), (Computer Vision Applications, 8), (Mathematical Statistics, 8)]"
"CSC 874","Topics in Big Data Analysis","Introduction to current topics in data sciences and big data analysis. (Plus-minus letter grade only)","[(Big Data Technologies Overview, 17), (Apache Spark, 17), (Apache Hadoop, 14), (Distributed Data Processing, 14), (Cloud Data Platforms, 13), (Large-Scale ML, 12), (Statistical Analysis for Big Data, 12), (Data Pipeline Design, 11), (Python and Scala for Big Data, 10), (Data Quality and Governance, 10), (NoSQL Databases, 9), (Real-Time Processing, 9), (Research Writing, 8), (Cloud Cost Optimization, 7)]"
"CSC 876","Soft Computing and Decision Support Systems","Development of software systems for decision support including applications of soft computing. Topics include fuzzy sets, fuzzy logic, fuzzy systems, fuzzy decision-making, fuzzy controllers, approximate reasoning, possibility theory, rough sets, graded evaluation logic, logic aggregation operators, information fusion models, decision engineering methods, computing with words, perceptual computing, granular computing, and the LSP method for evaluation and optimization of complex systems. (Plus-minus letter grade only)","[(Fuzzy Logic and Fuzzy Sets, 20), (Fuzzy Systems Design, 18), (Fuzzy Decision Making, 16), (Approximate Reasoning, 15), (Rough Sets, 13), (Logic Aggregation, 14), (Information Fusion Models, 13), (Decision Engineering Methods, 12), (Graded Evaluation Logic, 12), (LSP Method for System Evaluation, 11), (Computing with Words, 10), (Neural-Fuzzy Systems, 9), (Python for Decision Systems, 8), (Graduate Research Writing, 8), (Systems Evaluation and Optimization, 7), (Mathematical Modeling, 7)]"
"CSC 878","Big Data Platforms and Systems","Examination of Big Data's main characteristics. Introduction of and experimentation with common platforms and systems of the Big Data ecosystem on premises or in the cloud. Application of Big Data management systems such as NoSQL databases. Utilization of mainstream Big Data platforms such as Apache Hadoop and Apache Spark to address real-world big data problems. (Plus-minus letter grade only)","[(Apache Hadoop, 19), (Apache Spark, 19), (NoSQL Databases, 15), (Apache Kafka, 14), (Cloud Data Warehousing, 13), (Data Lake Architecture, 12), (ETL/ELT Pipelines, 12), (Distributed Systems, 11), (Python and Scala, 11), (Data Governance and Quality, 10), (Infrastructure as Code, 9), (Real-Time Analytics, 9), (Kubernetes, 8), (Big Data Security, 8), (Technical Documentation, 7)]"
"CSC 890","Graduate Seminar","Explore a variety of current advanced research trends in Computer Science. Topics to be specified in the Class Schedule. May be repeated for a total of 6 units when topics vary. (Plus-minus letter grade only) Topics include: Selected Topics in Computing for Life Science; Health Informatics; Advanced Information Security and Privacy; Advanced Artificial Intelligence; Data Visualization; Big Data and Cybersecurity; Special Topics in Technology and Society; Software Engineering and Industry Practices; Quantum Computing; Technical Entrepreneurship; Machine Learning for Cybersecurity.","[(Research Critique, 17), (Academic Presentation, 16), (Research Methodology in CS, 15), (Academic Writing, 14), (Emerging Tech Trends, 13), (Quantum Computing Research, 12), (Science Communication, 11), (SE Research, 11), (Literature Synthesis, 11), (Professional Development, 10), (ML for Cybersecurity, 10), (Tech Entrepreneurship, 9), (Health Informatics, 8), (Academic Publishing, 8), (Research Ethics, 7)]"
"CSC 893","Supervised Industrial Research","Supervised computer science employment in software research and development. Objectives are career development and occupational experience. May be repeated for a total of 3 units. Subsequently, may be repeated on a CR/NC basis. Must be approved by a graduate adviser. (Plus-minus letter grade, CR/NC, RP)","[(Applied Research, 16), (Research Documentation, 14), (Industry Communication, 14), (Research Formulation, 13), (Career Development, 13), (Academic Publishing, 12), (Code Ownership, 12), (Industry Presentations, 11), (Project Planning and Execution, 11), (Self-Direction, 10), (Intellectual Property, 8), (Report Writing, 8)]"
"CSC 895","Applied Research Project","Supervised applied research project resulting in a substantial technical artifact (software system, dataset, experimental study, or technical report). Students work under faculty mentorship to formulate a research problem, conduct background literature review, design and implement a solution, evaluate results, and communicate findings. Requires a formal written report and oral presentation. CR/NC grading only.","[(Project Management, 16), (Research Documentation, 15), (Research Methodology, 14), (Iterative Prototyping, 13), (Experimental Evaluation, 13), (Scientific Communication, 12), (Critical Thinking, 12), (Data Analysis and Interpretation, 11), (Reproducible Research, 11), (Research Collaboration, 10), (Literature Review, 9), (Version Control for Research, 8)]"
"CSC 897","Research","Independent and original investigation under the supervision of a faculty member. May be repeated for a total of 6 units. (Plus-minus letter grade, CR/NC, RP)","[(Independent Research, 17), (Research Methodology, 16), (Literature Review, 15), (Scientific and Academic Writing, 15), (Hypothesis Formulation and Testing, 14), (Data Analysis, 13), (Research Presentation, 12), (Statistical Methods for Research, 11), (Reproducible Research, 10), (Research Mentorship, 10), (Journal Paper Writing, 10), (Peer Review Participation, 8), (Research Ethics, 7)]"
"CSC 898","Master's Thesis","Independent research culminating in a master's thesis that makes an original contribution to the field of computer science. Students work under the supervision of a thesis committee to formulate a research problem, conduct a rigorous literature review, design and execute experiments or system development, analyze results, and produce a publication-quality thesis document. Requires a formal thesis defense. CR/NC grading only.","[(Thesis Writing, 18), (Independent and Original Research, 17), (Research Methodology, 16), (Literature Review, 15), (Experimental Design, 14), (Statistical Analysis, 13), (Scientific Communication, 13), (Research Collaboration, 12), (Reproducible Research, 11), (Hypothesis Testing and Validation, 11), (Research Ethics and Integrity, 10), (Long-Form Technical Writing, 10), (Peer Review and Revision, 9), (Grant and Fellowship Writing, 7)]"
"CSC 899","Independent Study","Special study of a particular problem under the direction of a faculty member. A written, detailed report of the work accomplished must be submitted to the staff of the department. May be repeated for a total of 6 units. (AB/NC only)","[(Independent Research, 16), (Technical Report Writing, 15), (Problem Formulation, 14), (Literature Review, 13), (Faculty Mentorship Engagement, 13), (Self-Direction, 12), (Research Methodology, 12), (Academic Presentation, 11), (Specialized Computing, 11), (Experimental Prototyping, 10), (Data Analysis, 9), (Reproducible Research, 8)]"
